"subject_id","story","first_actual","strategy","first_response","second_response","symmetric","Expectations","n_benefit","n_effort","diff_benefit","diff_effort","ci_lower_benefit","ci_lower_effort","ci_upper_benefit","ci_upper_effort","mean_benefit","mean_effort"
"aa39df0ae8fcf1f6173486a0c46933c4","group project","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"aa39df0ae8fcf1f6173486a0c46933c4","groceries","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"aa39df0ae8fcf1f6173486a0c46933c4","feedback","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"b6602ac183cc461a37ec312e8a10f51b","architects","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"b6602ac183cc461a37ec312e8a10f51b","gifts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"b6602ac183cc461a37ec312e8a10f51b","meeting prep","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"b6602ac183cc461a37ec312e8a10f51b","feedback","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"b6602ac183cc461a37ec312e8a10f51b","concerts","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"b6602ac183cc461a37ec312e8a10f51b","police","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"b6602ac183cc461a37ec312e8a10f51b","family meals","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"b6602ac183cc461a37ec312e8a10f51b","scheduling","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"b6602ac183cc461a37ec312e8a10f51b","groceries","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"b6602ac183cc461a37ec312e8a10f51b","babysitting","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"b6602ac183cc461a37ec312e8a10f51b","conversation","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"b6602ac183cc461a37ec312e8a10f51b","housemates","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"b6602ac183cc461a37ec312e8a10f51b","fundraising","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"b6602ac183cc461a37ec312e8a10f51b","weekend","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"b6602ac183cc461a37ec312e8a10f51b","coffee","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"b6602ac183cc461a37ec312e8a10f51b","group project","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"b6602ac183cc461a37ec312e8a10f51b","meeting location","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"b6602ac183cc461a37ec312e8a10f51b","restaurant","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"09e2eaf92f7ee281c061ec65dc95d11d","gifts","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"09e2eaf92f7ee281c061ec65dc95d11d","weekend","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"09e2eaf92f7ee281c061ec65dc95d11d","group project","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"09e2eaf92f7ee281c061ec65dc95d11d","meeting prep","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"09e2eaf92f7ee281c061ec65dc95d11d","feedback","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"09e2eaf92f7ee281c061ec65dc95d11d","groceries","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"09e2eaf92f7ee281c061ec65dc95d11d","family meals","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"09e2eaf92f7ee281c061ec65dc95d11d","meeting location","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"09e2eaf92f7ee281c061ec65dc95d11d","police","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"09e2eaf92f7ee281c061ec65dc95d11d","concerts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"09e2eaf92f7ee281c061ec65dc95d11d","coffee","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"09e2eaf92f7ee281c061ec65dc95d11d","architects","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"09e2eaf92f7ee281c061ec65dc95d11d","conversation","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"09e2eaf92f7ee281c061ec65dc95d11d","housemates","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"09e2eaf92f7ee281c061ec65dc95d11d","fundraising","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"09e2eaf92f7ee281c061ec65dc95d11d","scheduling","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"09e2eaf92f7ee281c061ec65dc95d11d","restaurant","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"09e2eaf92f7ee281c061ec65dc95d11d","babysitting","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"e4707145e0841a9808d37774ac041981","weekend","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"e4707145e0841a9808d37774ac041981","housemates","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"e4707145e0841a9808d37774ac041981","fundraising","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"e4707145e0841a9808d37774ac041981","groceries","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"e4707145e0841a9808d37774ac041981","meeting prep","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"e4707145e0841a9808d37774ac041981","architects","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"e4707145e0841a9808d37774ac041981","coffee","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"e4707145e0841a9808d37774ac041981","group project","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"e4707145e0841a9808d37774ac041981","babysitting","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"e4707145e0841a9808d37774ac041981","meeting location","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"e4707145e0841a9808d37774ac041981","concerts","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"e4707145e0841a9808d37774ac041981","conversation","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"e4707145e0841a9808d37774ac041981","feedback","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"e4707145e0841a9808d37774ac041981","scheduling","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"e4707145e0841a9808d37774ac041981","police","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"e4707145e0841a9808d37774ac041981","restaurant","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"e4707145e0841a9808d37774ac041981","gifts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"e4707145e0841a9808d37774ac041981","family meals","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"c19d76b092381ee3506ae463f140a4d8","concerts","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"c19d76b092381ee3506ae463f140a4d8","group project","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"c19d76b092381ee3506ae463f140a4d8","gifts","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"c19d76b092381ee3506ae463f140a4d8","architects","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"c19d76b092381ee3506ae463f140a4d8","conversation","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"c19d76b092381ee3506ae463f140a4d8","restaurant","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"c19d76b092381ee3506ae463f140a4d8","meeting prep","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"c19d76b092381ee3506ae463f140a4d8","groceries","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"c19d76b092381ee3506ae463f140a4d8","fundraising","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"c19d76b092381ee3506ae463f140a4d8","coffee","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"c19d76b092381ee3506ae463f140a4d8","meeting location","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"c19d76b092381ee3506ae463f140a4d8","housemates","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
